date	url	title	meta_desc_length	h1	h2_count	word_count	crawl_depth	internal_links	issues
2026-03-14	/learn/medicare-help-low-income	Medicare Help on a Fixed Income (2026)	131	Medicare Help for People on a Fixed Income (2026)	2	82	2	5	Word count below 350; Orphan page (no incoming internal links)
2026-03-14	/learn/medicare-parts-explained	Medicare Parts A, B, C & D Explained (2026)	114	Medicare Parts A, B, C, and D Explained Simply (2026)	0	66	2	4	Meta desc too short (<120); Word count below 350
2026-03-14	/learn/what-is-medigap	What Is Medigap? Supplement Insurance (2026)	126	What Is Medigap? Medicare Supplement Insurance Explained (2026)	2	182	2	4	Word count below 350
2026-03-14	/medicare-advantage/new-jersey	Best Medicare Advantage Plans in NJ (2026)	127	Best Medicare Advantage Plans in New Jersey (2026)	2	153	2	2	Word count below 350
2026-03-14	/medicare-supplement/new-jersey	Best Medicare Supplement Plans in NJ (2026)	129	Best Medicare Supplement Plans in New Jersey (2026)	5	357	2	2	
2026-03-14	/medicare-supplement/new-jersey/cost	Medicare Costs in New Jersey (2026)	122	How Much Does Medicare Cost in New Jersey in 2026?	2	156	3	5	Word count below 350
2026-03-14	/medicare-supplement/new-jersey/plan-g-vs-plan-n	Plan G vs Plan N in NJ (2026): Which Is Better?	113	Medigap Plan G vs Plan N in New Jersey (2026): Which Is Better?	3	303	3	5	Meta desc too short (<120); Word count below 350
2026-03-14	/medicare-supplement/new-jersey/turning-65	Turning 65 in NJ: Medicare Checklist (2026)	121	Turning 65 in New Jersey: Your Complete Medicare Checklist (2026)	2	265	3	5	Word count below 350
2026-03-14	/medicare-supplement/new-jersey/vs-medicare-advantage	Medigap vs Medicare Advantage in NJ (2026)	119	Medigap vs Medicare Advantage in New Jersey (2026)	3	125	3	5	Meta desc too short (<120); Word count below 350
2026-03-14	/medicare-supplement/pennsylvania	Best Medicare Supplement Plans in PA (2026)	122	Best Medicare Supplement Plans in Pennsylvania (2026)	2	312	2	4	Word count below 350
2026-03-14	/medicare-supplement/switch-carriers	Switch Medigap Carriers, Same Plan G (2026)	123	Switch Medicare Supplement Carriers — Same Plan G, Lower Monthly Rate	7	522	2	6	
2026-03-14	/privacy	Privacy Policy	106	Privacy Policy	8	48	1	1	Meta desc too short (<120); Word count below 350; Missing SchemaMarkup; Missing PhoneCTA; Orphan page (no incoming internal links)
2026-03-14	/quote	Get a Free Medicare Quote	110	Get a Free Medicare Quote	0	11	1	3	Meta desc too short (<120); Word count below 350; Missing SchemaMarkup; Missing PhoneCTA
2026-03-14	/terms	Terms of Service	101	Terms of Service	9	10	1	1	Meta desc too short (<120); Word count below 350; Missing SchemaMarkup; Missing PhoneCTA; Orphan page (no incoming internal links)
2026-03-14	/	MedicareYourself | Medicare Insurance Broker	129	Medicare Made Simple. Free, Unbiased Guidance.	2	159	0	3	Word count below 350
2026-03-14	/about	About Us | MedicareYourself	132	About MedicareYourself	6	137	1	6	Word count below 350
2026-03-14	/hub	Medicare Guides & Resources	123	Medicare Guides and Resources	2	128	1	5	Word count below 350; Missing PhoneCTA
2026-03-14	/learn/how-to-sign-up-for-medicare	How to Sign Up for Medicare (2026 Guide)	132	How and When to Sign Up for Medicare (2026)	3	152	2	2	Word count below 350
2026-03-14	/learn/medicare-help-low-income	Medicare Help on a Fixed Income (2026)	131	Medicare Help for People on a Fixed Income (2026)	2	82	2	5	Word count below 350; Orphan page (no incoming internal links)
2026-03-14	/learn/medicare-parts-explained	Medicare Parts A, B, C & D Explained (2026)	127	Medicare Parts A, B, C, and D Explained Simply (2026)	0	66	2	4	Word count below 350
2026-03-14	/learn/what-is-medigap	What Is Medigap? Supplement Insurance (2026)	126	What Is Medigap? Medicare Supplement Insurance Explained (2026)	2	182	2	4	Word count below 350
2026-03-14	/medicare-advantage/new-jersey	Best Medicare Advantage Plans in NJ (2026)	127	Best Medicare Advantage Plans in New Jersey (2026)	2	153	2	2	Word count below 350
2026-03-14	/medicare-supplement/new-jersey	Best Medicare Supplement Plans in NJ (2026)	129	Best Medicare Supplement Plans in New Jersey (2026)	5	357	2	2	
2026-03-14	/medicare-supplement/new-jersey/cost	Medicare Costs in New Jersey (2026)	122	How Much Does Medicare Cost in New Jersey in 2026?	2	156	3	5	Word count below 350
2026-03-14	/medicare-supplement/new-jersey/plan-g-vs-plan-n	Plan G vs Plan N in NJ (2026): Which Is Better?	135	Medigap Plan G vs Plan N in New Jersey (2026): Which Is Better?	3	303	3	5	Word count below 350
2026-03-14	/medicare-supplement/new-jersey/turning-65	Turning 65 in NJ: Medicare Checklist (2026)	121	Turning 65 in New Jersey: Your Complete Medicare Checklist (2026)	2	265	3	5	Word count below 350
2026-03-14	/medicare-supplement/new-jersey/vs-medicare-advantage	Medigap vs Medicare Advantage in NJ (2026)	140	Medigap vs Medicare Advantage in New Jersey (2026)	3	125	3	5	Word count below 350
2026-03-14	/medicare-supplement/pennsylvania	Best Medicare Supplement Plans in PA (2026)	122	Best Medicare Supplement Plans in Pennsylvania (2026)	2	312	2	4	Word count below 350
2026-03-14	/medicare-supplement/switch-carriers	Switch Medigap Carriers, Same Plan G (2026)	123	Switch Medicare Supplement Carriers — Same Plan G, Lower Monthly Rate	7	522	2	6	
2026-03-14	/privacy	Privacy Policy	133	Privacy Policy	8	48	1	1	Word count below 350; Missing SchemaMarkup; Missing PhoneCTA; Orphan page (no incoming internal links)
2026-03-14	/quote	Get a Free Medicare Quote	129	Get a Free Medicare Quote	0	11	1	3	Word count below 350; Missing SchemaMarkup; Missing PhoneCTA
2026-03-14	/terms	Terms of Service	137	Terms of Service	9	10	1	1	Word count below 350; Missing SchemaMarkup; Missing PhoneCTA; Orphan page (no incoming internal links)
